Area,Genero,Cantidad_Empleados,Salario_Promedio
Servicios mineros y actividades relacionadas,Desconocido,42,12360.49
Combustibles-Produccion,Femenino,162,57951.44
Combustibles-Produccion,Masculino,2702,64804.65
Combustibles-Produccion,Desconocido,23,58663.72
Litio-exploracion y financiacion,Femenino,19,23316.88
Litio-exploracion y financiacion,Masculino,142,22315.83
Litio-exploracion y financiacion,Desconocido,1,27260.0
Litio-Produccion,Femenino,79,20506.11
Litio-Produccion,Masculino,460,23398.74
Litio-Produccion,Desconocido,3,22813.98
Metaliferos-exploracion y financiacion,Femenino,6,19079.59
Metaliferos-exploracion y financiacion,Masculino,32,24136.45
Metaliferos-Produccion,Femenino,904,26490.86
Metaliferos-Produccion,Masculino,11120,29956.12
Metaliferos-Produccion,Desconocido,71,26198.38
Minerales no clasificados previamente,Femenino,354,15582.06
Minerales no clasificados previamente,Masculino,3799,13213.35
Minerales no clasificados previamente,Desconocido,26,9906.26
No metaliferos,Femenino,204,13621.69
No metaliferos,Masculino,1989,12904.74
No metaliferos,Desconocido,11,11001.33
Rocas de aplicacion,Femenino,339,10013.09
Rocas de aplicacion,Masculino,4416,13522.68
Rocas de aplicacion,Desconocido,30,13117.54
Servicios mineros y actividades relacionadas,Femenino,206,15589.03
Servicios mineros y actividades relacionadas,Masculino,5211,15514.9
Servicios mineros y actividades relacionadas,Desconocido,42,12115.24
Combustibles-Produccion,Femenino,164,42263.87
Combustibles-Produccion,Masculino,2702,54137.16
Combustibles-Produccion,Desconocido,23,54722.71
Litio-exploracion y financiacion,Femenino,19,29361.59
Litio-exploracion y financiacion,Masculino,118,30485.51
Litio-exploracion y financiacion,Desconocido,1,27158.07
Litio-Produccion,Femenino,78,24118.44
Litio-Produccion,Masculino,457,27914.58
Litio-Produccion,Desconocido,2,29556.4
Metaliferos-exploracion y financiacion,Femenino,7,21801.62
Metaliferos-exploracion y financiacion,Masculino,30,29431.82
Metaliferos-Produccion,Femenino,885,28708.53
Metaliferos-Produccion,Masculino,11044,33362.55
Metaliferos-Produccion,Desconocido,70,28297.66
Minerales no clasificados previamente,Femenino,360,16898.79
Minerales no clasificados previamente,Masculino,3793,16269.7
Minerales no clasificados previamente,Desconocido,30,14319.81
